TR:mock:CellLine,TR:ATF3,TR:KIT,TR:AKT1i,TR:CCND1i,TR:ERBB3i,TR:HDAC3i,TR:ITGALi,TR:SIRT1i,TR:SMAD2i,TR:SMAD6i,TR:SOCS2i,TR:STAT1i,TR:TP53i,TR:YAP1i,TR:YWHAZi,DA:CD74,DA:CDKN2A,DA:SMAD1,DA:TRIM24,DA:TSC2,DA:VHL,DA:ZNF296,DV:CD74,DV:CDKN2A,DV:SMAD1,DV:TRIM24,DV:TSC2,DV:VHL,DV:ZNF296
1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.250633872193722,0.317698313055836,0.275946155504032,0.557102606971111,0.524634663257472,0.426145336468449,0.338362658350459
1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,10,10,10,10,10,10,10,0.573423072623451,0.359151901819887,0.51961750398543,0.569829728918471,0.719427013103584,0.465888577606004,0.50303981655376
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,10,10,10,10,10,10,10,0.143510971940703,0.464167463702484,0.582835436425543,0.409499284158737,0.363764788210521,0.274974844933773,0.373453636494466
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.245602579651478,0.150702309632911,0.402749573721259,0.543153843775365,0.643051752567286,0.389628076299935,0.385771706429755
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.07141718406043,0.373791726333822,0.520599335568276,0.436133086153882,0.772342055110431,0.288952490649946,0.275854280230311
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,10,10,10,10,10,10,10,0.340933876670695,0.417943464760121,0.484882449011792,0.408060470207915,0.823115024160539,0.510192397557832,0.278811855443326
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.43087991789956,0.164882163207258,0.472541955536559,0.531460504168989,0.543767104839668,0.263863521878654,0.324066967226088
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.223597364101627,0.204769220479598,0.49028845174231,0.39704798861305,0.570979134741394,0.212544008940598,0.308854822080887
